client_id,age,job,marital,education,credit_default,mortgage
0,56,Housemaid,married,Basic,True,True
1,57,Services,married,High School,True,True
2,37,Services,married,High School,True,True
3,40,Admin,married,Basic,True,True
4,56,Services,married,High School,True,True
5,45,Services,married,Basic,True,True
6,59,Admin,married,Professional Course,True,True
7,41,Blue-collar,married,Unknown,True,True
8,24,Technician,single,Professional Course,True,True
9,25,Services,single,High School,True,True
10,41,Blue-collar,married,Unknown,True,True
11,25,Services,single,High School,True,True
12,29,Blue-collar,single,High School,True,True
13,57,Housemaid,divorced,Basic,True,True
14,35,Blue-collar,married,Basic,True,True
15,54,Retired,married,Basic,True,True
16,35,Blue-collar,married,Basic,True,True
17,46,Blue-collar,married,Basic,True,True
18,50,Blue-collar,married,Basic,True,True
19,39,Management,single,Basic,True,True
20,30,Unemployed,married,High School,True,True
21,55,Blue-collar,married,Basic,True,True
22,55,Retired,single,High School,True,True
23,41,Technician,single,High School,True,True
24,37,Admin,married,High School,True,True
25,35,Technician,married,University Degree,True,True
26,59,Technician,married,Unknown,True,True
27,39,Self-employed,married,Basic,True,True
28,54,Technician,single,University Degree,True,True
29,55,Unknown,married,University Degree,True,True
30,46,Admin,married,Unknown,True,True
31,59,Technician,married,Unknown,True,True
32,49,Blue-collar,married,Unknown,True,True
33,54,Management,married,Basic,True,True
34,54,Blue-collar,divorced,Basic,True,True
35,55,Unknown,married,Basic,True,True
36,34,Services,married,High School,True,True
37,52,Technician,married,Basic,True,True
38,41,Admin,married,University Degree,True,True
39,56,Technician,married,Basic,True,True
40,58,Management,unknown,University Degree,True,True
41,32,Entrepreneur,married,High School,True,True
42,38,Admin,single,Professional Course,True,True
43,57,Admin,married,University Degree,True,True
44,44,Admin,married,University Degree,True,True
45,42,Technician,single,Professional Course,True,True
46,57,Admin,married,University Degree,True,True
47,40,Blue-collar,married,Basic,True,True
48,35,Admin,married,University Degree,True,True
49,45,Blue-collar,married,Basic,True,True
50,54,Admin,married,High School,True,True
51,39,Housemaid,married,Basic,True,True
52,60,Admin,married,High School,True,True
53,53,Admin,single,Professional Course,True,True
54,55,Blue-collar,married,Basic,True,True
55,55,Technician,married,Professional Course,True,True
56,50,Management,married,University Degree,True,True
57,45,Services,married,High School,True,True
58,55,Unemployed,married,Professional Course,True,True
59,25,Technician,single,University Degree,True,True
60,47,Entrepreneur,married,University Degree,True,True
61,51,Blue-collar,married,Basic,True,True
62,42,Blue-collar,married,Basic,True,True
63,42,Blue-collar,married,Basic,True,True
64,48,Admin,married,High School,True,True
65,37,Admin,married,University Degree,True,True
66,44,Blue-collar,single,Basic,True,True
67,33,Admin,married,Unknown,True,True
68,56,Admin,married,Basic,True,True
69,44,Blue-collar,single,Basic,True,True
70,41,Management,married,Basic,True,True
71,44,Management,divorced,University Degree,True,True
72,47,Admin,married,University Degree,True,True
73,57,Unknown,married,Unknown,True,True
74,37,Admin,married,University Degree,True,True
75,41,Blue-collar,divorced,Basic,True,True
76,55,Technician,married,University Degree,True,True
77,33,Services,married,High School,True,True
78,55,Management,married,Unknown,True,True
79,42,Blue-collar,married,Basic,True,True
80,50,Blue-collar,married,Basic,True,True
81,51,Blue-collar,married,Basic,True,True
82,38,Admin,married,High School,True,True
83,49,Entrepreneur,married,University Degree,True,True
84,38,Technician,single,University Degree,True,True
85,31,Admin,divorced,High School,True,True
86,41,Management,married,Basic,True,True
87,39,Admin,married,University Degree,True,True
88,49,Technician,married,Basic,True,True
89,34,Admin,married,High School,True,True
90,35,Admin,married,University Degree,True,True
91,57,Unknown,married,Unknown,True,True
92,60,Admin,married,Unknown,True,True
93,33,Unemployed,married,Basic,True,True
94,42,Blue-collar,married,Basic,True,True
95,45,Services,married,Professional Course,True,True
96,42,Management,married,University Degree,True,True
97,53,Admin,divorced,University Degree,True,True
98,37,Technician,single,Professional Course,True,True
99,44,Blue-collar,married,Basic,True,True
100,54,Services,married,Unknown,True,True
101,49,Blue-collar,married,Basic,True,True
102,54,Services,married,Unknown,True,True
103,52,Admin,divorced,University Degree,True,True
104,52,Admin,divorced,University Degree,True,True
105,43,Services,single,High School,True,True
106,34,Housemaid,married,Basic,True,True
107,35,Admin,married,High School,True,True
108,42,Entrepreneur,married,Unknown,True,True
109,43,Technician,married,Unknown,True,True
110,60,Retired,divorced,University Degree,True,True
111,58,Unemployed,married,Basic,True,True
112,35,Services,divorced,High School,True,True
113,55,Blue-collar,married,Basic,True,True
114,37,Management,married,University Degree,True,True
115,36,Blue-collar,married,High School,True,True
116,52,Admin,divorced,University Degree,True,True
117,57,Blue-collar,divorced,Unknown,True,True
118,56,Admin,married,Unknown,True,True
119,48,Blue-collar,divorced,Basic,True,True
120,40,Blue-collar,married,High School,True,True
121,49,Blue-collar,divorced,High School,True,True
122,41,Services,married,High School,True,True
123,45,Technician,married,High School,True,True
124,32,Admin,married,University Degree,True,True
125,42,Admin,married,University Degree,True,True
126,50,Admin,married,Basic,True,True
127,31,Technician,divorced,Professional Course,True,True
128,56,Retired,married,Basic,True,True
129,41,Technician,married,Professional Course,True,True
130,37,Blue-collar,married,Basic,True,True
131,41,Technician,married,Professional Course,True,True
132,35,Blue-collar,married,Unknown,True,True
133,37,Blue-collar,married,Basic,True,True
134,52,Management,married,University Degree,True,True
135,39,Management,divorced,University Degree,True,True
136,39,Housemaid,married,Basic,True,True
137,56,Blue-collar,married,Basic,True,True
138,34,Services,married,High School,True,True
139,45,Blue-collar,married,Basic,True,True
140,43,Unemployed,single,University Degree,True,True
141,56,Management,married,Unknown,True,True
142,39,Management,married,University Degree,True,True
143,53,Blue-collar,married,Basic,True,True
144,38,Unknown,divorced,High School,True,True
145,42,Blue-collar,married,Basic,True,True
146,42,Blue-collar,married,Basic,True,True
147,35,Admin,single,High School,True,True
148,40,Admin,married,University Degree,True,True
149,51,Blue-collar,married,Basic,True,True
150,60,Blue-collar,married,Basic,True,True
151,56,Entrepreneur,married,Unknown,True,True
152,39,Services,divorced,High School,True,True
153,56,Entrepreneur,married,Unknown,True,True
154,40,Blue-collar,married,Unknown,True,True
155,36,Blue-collar,married,Basic,True,True
156,51,Blue-collar,married,Unknown,True,True
157,51,Blue-collar,married,Unknown,True,True
158,43,Technician,single,Professional Course,True,True
159,59,Services,married,High School,True,True
160,24,Management,single,University Degree,True,True
161,37,Blue-collar,single,Basic,True,True
162,40,Blue-collar,married,Basic,True,True
163,42,Blue-collar,married,Basic,True,True
164,39,Services,divorced,High School,True,True
165,37,Entrepreneur,married,Basic,True,True
166,38,Services,married,High School,True,True
167,56,Admin,divorced,Unknown,True,True
168,40,Blue-collar,married,Unknown,True,True
169,54,Management,divorced,University Degree,True,True
170,43,Blue-collar,married,High School,True,True
171,36,Services,married,High School,True,True
172,45,Technician,married,University Degree,True,True
173,42,Admin,single,University Degree,True,True
174,43,Services,married,High School,True,True
175,46,Management,married,Basic,True,True
176,44,Services,married,High School,True,True
177,51,Admin,single,Basic,True,True
178,28,Services,married,High School,True,True
179,37,Blue-collar,married,Basic,True,True
180,34,Technician,married,High School,True,True
181,46,Blue-collar,married,Basic,True,True
182,42,Blue-collar,married,Basic,True,True
183,36,Admin,married,University Degree,True,True
184,54,Blue-collar,married,Basic,True,True
185,57,Management,married,University Degree,True,True
186,51,Technician,married,Basic,True,True
187,54,Retired,married,High School,True,True
188,49,Blue-collar,married,Basic,True,True
189,34,Admin,married,University Degree,True,True
190,41,Technician,married,Professional Course,True,True
191,38,Blue-collar,single,Basic,True,True
192,45,Management,divorced,University Degree,True,True
193,42,Technician,married,University Degree,True,True
194,34,Blue-collar,single,Basic,True,True
195,48,Blue-collar,married,Basic,True,True
196,37,Admin,married,High School,True,True
197,34,Blue-collar,single,Basic,True,True
198,40,Admin,married,Basic,True,True
199,43,Blue-collar,married,Basic,True,True
200,33,Services,married,High School,True,True
201,32,Services,single,Basic,True,True
202,39,Blue-collar,married,High School,True,True
203,43,Admin,married,Unknown,True,True
204,44,Blue-collar,married,Basic,True,True
205,35,Student,single,University Degree,True,True
206,35,Student,single,University Degree,True,True
207,35,Unemployed,married,Professional Course,True,True
208,36,Services,single,Basic,True,True
209,35,Student,single,University Degree,True,True
210,36,Student,single,Basic,True,True
211,55,Housemaid,divorced,University Degree,True,True
212,59,Admin,married,University Degree,True,True
213,57,Retired,married,Unknown,True,True
214,39,Blue-collar,married,Professional Course,True,True
215,39,Housemaid,married,Basic,True,True
216,30,Blue-collar,single,Unknown,True,True
217,30,Blue-collar,single,Unknown,True,True
218,50,Housemaid,married,Basic,True,True
219,40,Services,married,High School,True,True
220,35,Admin,married,High School,True,True
221,43,Technician,married,Unknown,True,True
222,36,Services,single,Basic,True,True
223,46,Technician,married,Basic,True,True
224,40,Technician,married,Basic,True,True
225,58,Retired,married,University Degree,True,True
226,42,Technician,married,University Degree,True,True
227,35,Admin,single,University Degree,True,True
228,43,Retired,married,Basic,True,True
229,45,Blue-collar,married,Basic,True,True
230,39,Admin,married,Professional Course,True,True
231,50,Services,divorced,Professional Course,True,True
232,32,Management,divorced,Basic,True,True
233,39,Admin,married,High School,True,True
234,52,Self-employed,married,University Degree,True,True
235,44,Admin,married,Professional Course,True,True
236,56,Blue-collar,married,Basic,True,True
237,48,Admin,married,High School,True,True
238,33,Services,married,High School,True,True
239,43,Management,married,University Degree,True,True
240,57,Retired,married,High School,True,True
241,36,Technician,single,Professional Course,True,True
242,34,Management,married,University Degree,True,True
243,34,Services,single,Basic,True,True
244,30,Technician,married,University Degree,True,True
245,33,Services,divorced,Unknown,True,True
246,32,Technician,single,Professional Course,True,True
247,36,Technician,single,High School,True,True
248,36,Blue-collar,single,High School,True,True
249,33,Services,single,High School,True,True
250,40,Technician,divorced,Professional Course,True,True
251,41,Blue-collar,married,Basic,True,True
252,51,Services,married,Basic,True,True
253,36,Technician,married,Professional Course,True,True
254,28,Services,married,Unknown,True,True
255,53,Services,married,High School,True,True
256,58,Blue-collar,married,Basic,True,True
257,45,Management,married,Basic,True,True
258,43,Technician,married,Unknown,True,True
259,33,Admin,married,High School,True,True
260,33,Admin,married,High School,True,True
261,27,Blue-collar,single,Basic,True,True
262,42,Technician,married,High School,True,True
263,43,Admin,divorced,Basic,True,True
264,42,Admin,married,University Degree,True,True
265,27,Blue-collar,single,Basic,True,True
266,34,Self-employed,single,University Degree,True,True
267,31,Student,single,University Degree,True,True
268,54,Management,divorced,University Degree,True,True
269,40,Self-employed,married,Basic,True,True
270,52,Unemployed,married,High School,True,True
271,47,Management,divorced,University Degree,True,True
272,49,Housemaid,married,Basic,True,True
273,32,Admin,single,High School,True,True
274,49,Housemaid,single,High School,True,True
275,50,Blue-collar,married,Basic,True,True
276,34,Services,married,High School,True,True
277,55,Blue-collar,married,Basic,True,True
278,47,Technician,single,Basic,True,True
279,51,Retired,married,Professional Course,True,True
280,47,Blue-collar,married,Basic,True,True
281,56,Technician,married,Basic,True,True
282,53,Admin,married,Basic,True,True
283,36,Blue-collar,married,Basic,True,True
284,42,Blue-collar,divorced,Basic,True,True
285,44,Blue-collar,divorced,Basic,True,True
286,39,Housemaid,married,Basic,True,True
287,37,Admin,single,High School,True,True
288,60,Blue-collar,married,Unknown,True,True
289,36,Services,married,High School,True,True
290,42,Management,divorced,University Degree,True,True
291,31,Admin,married,High School,True,True
292,53,Technician,divorced,Professional Course,True,True
293,45,Blue-collar,married,Basic,True,True
294,37,Technician,single,Professional Course,True,True
295,47,Self-employed,married,Professional Course,True,True
296,49,Blue-collar,divorced,High School,True,True
297,36,Admin,married,University Degree,True,True
298,35,Services,divorced,High School,True,True
299,38,Unknown,married,Unknown,True,True
300,38,Services,single,High School,True,True
301,50,Blue-collar,divorced,High School,True,True
302,59,Retired,married,Professional Course,True,True
303,43,Unknown,married,Unknown,True,True
304,42,Admin,married,High School,True,True
305,40,Admin,married,Basic,True,True
306,46,Blue-collar,married,Unknown,True,True
307,57,Housemaid,divorced,Basic,True,True
308,42,Admin,married,University Degree,True,True
309,41,Blue-collar,married,Basic,True,True
310,54,Management,divorced,University Degree,True,True
311,27,Admin,single,University Degree,True,True
312,36,Admin,married,High School,True,True
313,58,Blue-collar,married,Professional Course,True,True
314,40,Management,married,University Degree,True,True
315,34,Admin,single,Basic,True,True
316,33,Admin,divorced,High School,True,True
317,56,Retired,married,Basic,True,True
318,42,Blue-collar,married,Basic,True,True
319,43,Services,married,High School,True,True
320,54,Management,single,Basic,True,True
321,53,Admin,single,Basic,True,True
