client_id,cons_price_idx,euribor_three_months,last_contact_date
0,93.994,4.857,2022-05-13
1,93.994,4.857,2022-05-19
2,93.994,4.857,2022-05-23
3,93.994,4.857,2022-05-27
4,93.994,4.857,2022-05-03
5,93.994,4.857,2022-05-05
6,93.994,4.857,2022-05-03
7,93.994,4.857,2022-05-12
8,93.994,4.857,2022-05-21
9,93.994,4.857,2022-05-05
10,93.994,4.857,2022-05-08
11,93.994,4.857,2022-05-09
12,93.994,4.857,2022-05-29
13,93.994,4.857,2022-05-14
14,93.994,4.857,2022-05-29
15,93.994,4.857,2022-05-29
16,93.994,4.857,2022-05-01
17,93.994,4.857,2022-05-09
18,93.994,4.857,2022-05-06
19,93.994,4.857,2022-05-02
20,93.994,4.857,2022-05-02
21,93.994,4.857,2022-05-16
22,93.994,4.857,2022-05-20
23,93.994,4.857,2022-05-10
24,93.994,4.857,2022-05-02
25,93.994,4.857,2022-05-28
26,93.994,4.857,2022-05-30
27,93.994,4.857,2022-05-16
28,93.994,4.857,2022-05-01
29,93.994,4.857,2022-05-22
30,93.994,4.857,2022-05-22
31,93.994,4.857,2022-05-27
32,93.994,4.857,2022-05-25
33,93.994,4.857,2022-05-14
34,93.994,4.857,2022-05-25
35,93.994,4.857,2022-05-22
36,93.994,4.857,2022-05-11
37,93.994,4.857,2022-05-03
38,93.994,4.857,2022-05-02
39,93.994,4.857,2022-05-20
40,93.994,4.857,2022-05-05
41,93.994,4.857,2022-05-25
42,93.994,4.857,2022-05-22
43,93.994,4.857,2022-05-01
44,93.994,4.857,2022-05-17
45,93.994,4.857,2022-05-28
46,93.994,4.857,2022-05-15
47,93.994,4.857,2022-05-03
48,93.994,4.857,2022-05-26
49,93.994,4.857,2022-05-26
50,93.994,4.857,2022-05-03
51,93.994,4.857,2022-05-09
52,93.994,4.857,2022-05-11
53,93.994,4.857,2022-05-13
54,93.994,4.857,2022-05-12
55,93.994,4.857,2022-05-08
56,93.994,4.857,2022-05-17
57,93.994,4.857,2022-05-08
58,93.994,4.857,2022-05-08
59,93.994,4.857,2022-05-18
60,93.994,4.857,2022-05-03
61,93.994,4.857,2022-05-23
62,93.994,4.857,2022-05-27
63,93.994,4.857,2022-05-29
64,93.994,4.857,2022-05-19
65,93.994,4.857,2022-05-15
66,93.994,4.857,2022-05-16
67,93.994,4.857,2022-05-21
68,93.994,4.857,2022-05-29
69,93.994,4.857,2022-05-04
70,93.994,4.857,2022-05-28
71,93.994,4.857,2022-05-26
72,93.994,4.857,2022-05-18
73,93.994,4.857,2022-05-14
74,93.994,4.857,2022-05-26
75,93.994,4.857,2022-05-20
76,93.994,4.857,2022-05-16
77,93.994,4.857,2022-05-28
78,93.994,4.857,2022-05-30
79,93.994,4.857,2022-05-21
80,93.994,4.857,2022-05-29
81,93.994,4.857,2022-05-29
82,93.994,4.857,2022-05-27
83,93.994,4.857,2022-05-06
84,93.994,4.857,2022-05-23
85,93.994,4.857,2022-05-12
86,93.994,4.857,2022-05-23
87,93.994,4.857,2022-05-21
88,93.994,4.857,2022-05-19
89,93.994,4.857,2022-05-17
90,93.994,4.857,2022-05-29
91,93.994,4.857,2022-05-05
92,93.994,4.857,2022-05-02
93,93.994,4.857,2022-05-27
94,93.994,4.857,2022-05-28
95,93.994,4.857,2022-05-25
96,93.994,4.857,2022-05-17
97,93.994,4.857,2022-05-27
98,93.994,4.857,2022-05-30
99,93.994,4.857,2022-05-03
100,93.994,4.857,2022-05-25
101,93.994,4.857,2022-05-30
102,93.994,4.857,2022-05-27
103,93.994,4.857,2022-05-19
104,93.994,4.857,2022-05-24
105,93.994,4.857,2022-05-08
106,93.994,4.857,2022-05-22
107,93.994,4.857,2022-05-09
108,93.994,4.857,2022-05-15
109,93.994,4.857,2022-05-09
110,93.994,4.857,2022-05-04
111,93.994,4.857,2022-05-01
112,93.994,4.857,2022-05-25
113,93.994,4.857,2022-05-04
114,93.994,4.857,2022-05-06
115,93.994,4.857,2022-05-20
116,93.994,4.857,2022-05-31
117,93.994,4.857,2022-05-24
118,93.994,4.857,2022-05-06
119,93.994,4.857,2022-05-26
120,93.994,4.857,2022-05-21
121,93.994,4.857,2022-05-01
122,93.994,4.857,2022-05-18
123,93.994,4.857,2022-05-09
124,93.994,4.857,2022-05-26
125,93.994,4.857,2022-05-21
126,93.994,4.857,2022-05-31
127,93.994,4.857,2022-05-24
128,93.994,4.857,2022-05-23
129,93.994,4.857,2022-05-12
130,93.994,4.857,2022-05-29
131,93.994,4.857,2022-05-20
132,93.994,4.857,2022-05-22
133,93.994,4.857,2022-05-12
134,93.994,4.857,2022-05-19
135,93.994,4.857,2022-05-05
136,93.994,4.857,2022-05-26
137,93.994,4.857,2022-05-19
138,93.994,4.857,2022-05-28
139,93.994,4.857,2022-05-27
140,93.994,4.857,2022-05-16
141,93.994,4.857,2022-05-22
142,93.994,4.857,2022-05-24
143,93.994,4.857,2022-05-17
144,93.994,4.857,2022-05-24
145,93.994,4.857,2022-05-06
146,93.994,4.857,2022-05-11
147,93.994,4.857,2022-05-16
